MH ID,Lat,Long
M16-011,38.56851026,-121.721118
N10-004,38.56233735,-121.7688685
N11-062,38.56276086,-121.7650354
N11-072,38.56211607,-121.7585289
N12-066,38.56180936,-121.7504112
N13-041,38.56217655,-121.7445143
N14-031,38.56201698,-121.7387067
N17-005,38.56451803,-121.7034163
O12-005,38.55912976,-121.7585734
O13-002,38.5604074,-121.7431002
O14-008,38.56065349,-121.7357709
O14-020,38.55961299,-121.7386988
O20-001,38.55931115,-121.6757296
P14-027,38.5531947,-121.7336277
P14-102,38.54874097,-121.7315012
